treatment,geno,tag,le_end,beaker,ta,ta_dev
HI,S,SI_3,0.02580441026,1,4256.660279,560.1914433
XHI,C,C_2,0.05602585666,2,4421.385302,491.6422991
HI,C,C_10,0.0356970574,4,3957.268908,889.3885508
ELEV,C,C_4,0.0317377671,5,3558.797713,288.4943725
HI,M,M9_7,0.03351083427,6,3931.188606,865.8687823
AMB,C,C_18,0.01245433385,7,2462.587801,136.4088801
ELEV,S,SI_14,0.01160353946,8,3615.083969,146.6705651
XHI,S,SI_10,0.03113290137,9,4405.725924,788.67771
AMB,M,M9_3,-0.00313888095,10,2438.992705,139.3166635
AMB,C,C_7,0.03519431409,12,2434.278764,116.7556859
ELEV,C,C_9,0.03687389936,14,3585.436936,279.1832119
HI,C,C_1,0.01321832999,15,3969.127675,941.0207377
AMB,C,C_8,0.0188425193,16,2417.34794,94.46556224
XHI,C,C_5,0.03785356656,17,4214.369662,929.12096
ELEV,M,M9_2,0.07527461815,18,3487.566611,363.7417254
HI,S,SI_8,0.02123365107,19,4338.794142,364.2143888
XHI,S,SI_7,0.03575158874,20,4444.560867,440.592115
AMB,S,SI_6,0.01037506726,21,2413.734224,92.86013644
ELEV,S,SI_1,0.002658372457,23,3512.426022,345.8007747
XHI,M,M9_9,0.005094960643,24,4351.278887,721.5447503
HI,S,SI_2,0.006058484345,25,4139.379614,731.5588296
XHI,M,M9_1,0.02485859457,26,4362.231101,787.959075
ELEV,M,M9_8,0.04734401625,28,3777.085491,130.9787349
XHI,S,SI_5,0.02098365663,29,4462.241391,728.8187005
HI,C,C_3,0.04229269758,30,4306.448724,659.4737513
AMB,M,M9_4,0.01117979651,31,2578.657786,272.4337856
AMB,S,SI_4,0.01792246506,32,2432.592735,98.05458597
ELEV,S,SI_11,0.009477135086,34,3764.401522,115.3195249
AMB,C,C_13,0.02431652983,35,2460.614308,143.7416075
XHI,C,C_15,0.03609376081,36,4248.561147,692.1067198
HI,C,C_6,0.002097430906,37,4315.375608,754.6849711
AMB,C,C_12,0.02811039389,38,2496.725988,215.8217115
AMB,S,SI_9,0.04029382078,39,2432.892174,68.02469137
HI,M,M9_5,0.008705554136,41,4179.740216,712.584564
XHI,M,M9_6,0.05051936477,42,4635.869268,693.883773
ELEV,S,SI_12,0.03848525791,43,3698.741832,479.601011
ELEV,C,C_11,0.05394178197,45,3571.481952,461.9381086
HI,S,SI_15,0.03631661916,46,4212.220875,860.6591083
ELEV,C,C_14,0.04704636284,47,3654.401256,494.5403333
XHI,C,C_16,0.00737085859,48,4423.893306,637.7832554