date,order,sample_id,beaker,tank,coral,sal,dic,ta1,ta2,ta_avg,treatment,rep_diff
2/20/2024,213,359,13,2,Blank,34.07926789,2438.275193,2874.409035,2878.093626,2876.251331,AMB,3.68
2/23/2024,263,409,13,2,Blank,na,na,2467.16142,2468.187425,2467.674423,AMB,1.03
2/27/2024,313,459,13,2,Blank,35.37156735,2139.479135,2492.993693,2493.631199,2493.312446,AMB,0.64
3/1/2024,363,509,13,2,Blank,na,na,2499.800083,2501.652518,2500.726301,AMB,1.85
3/5/2024,413,559,13,2,Blank,34.30361937,2213.614833,2534.069407,2536.626309,2535.347858,AMB,2.56
3/11/2024,463,609,13,2,Blank,33.77925158,2132.273562,2543.896,2545.871,2544.8835,AMB,1.97
3/19/2024,513,658,13,2,Blank,32.94840787,2215.586772,2575.98,2573.054,2574.517,AMB,2.93
2/20/2024,244,367,44,4,Blank,34.34260972,2144.047277,2512.634842,2513.926363,2513.280603,AMB,1.29
2/23/2024,294,417,44,4,Blank,na,na,3097.40492,3097.888073,3097.646497,AMB,0.48
2/27/2024,344,467,44,4,Blank,35.31722143,2129.286302,2491.567239,2491.789022,2491.678131,AMB,0.22
3/1/2024,394,517,44,4,Blank,na,na,2524.005302,2526.654372,2525.329837,AMB,2.65
3/5/2024,444,567,44,4,Blank,34.26942698,2207.877673,2513.300679,2514.686836,2513.993758,AMB,1.39
3/11/2024,494,617,44,4,Blank,33.78443705,2091.192506,2534.168,2533.689,2533.9285,AMB,0.48
3/19/2024,544,666,44,4,Blank,32.52055248,2246.732475,2573.237,2572.504,2572.8705,AMB,0.73
2/20/2024,203,368,3,1,Blank,34.11958032,2329.121641,2763.932142,2767.106272,2765.519207,ELEV,3.17
2/23/2024,253,418,3,1,Blank,na,na,3273.743851,3276.387075,3275.065463,ELEV,2.64
2/27/2024,303,468,3,1,Blank,35.30639177,3079.686471,3757.341685,3764.30381,3760.822748,ELEV,6.96
3/1/2024,353,518,3,1,Blank,na,na,3794.358834,3794.744953,3794.551894,ELEV,0.39
3/5/2024,403,568,3,1,Blank,34.18943138,3190.692968,3839.858486,3843.701642,3841.780064,ELEV,3.84
3/11/2024,453,618,3,1,Blank,33.66872068,2810.914383,3671.852,3676.24,3674.046,ELEV,4.39
3/19/2024,503,667,3,1,Blank,32.87754271,3284.064798,3878.1,3887.19,3882.645,ELEV,9.09
2/20/2024,233,375,33,3,Blank,34.197644,3137.393515,3871.43689,3875.344692,3873.390791,ELEV,3.91
2/23/2024,283,425,33,3,Blank,na,na,3353.884008,3350.369429,3352.126719,ELEV,3.51
2/27/2024,333,475,33,3,Blank,35.14773368,3156.97755,3891.056562,3893.58954,3892.323051,ELEV,2.53
3/1/2024,383,525,33,3,Blank,na,na,3787.887208,3791.237907,3789.562558,ELEV,3.35
3/5/2024,433,575,33,3,Blank,34.12254718,3237.000476,3889.718433,3892.089203,3890.903818,ELEV,2.37
3/11/2024,483,625,33,3,Blank,33.71891143,3065.090318,3901.716,3905.743,3903.7295,ELEV,4.03
3/19/2024,533,674,33,3,Blank,32.50645493,3268.947084,3988.733,3987.325,3988.029,ELEV,1.41
2/20/2024,222,385,22,2,Blank,33.91104372,3487.418156,4411.429213,4411.03369,4411.231452,HI,0.40
2/23/2024,272,435,22,2,Blank,na,na,4127.474856,4131.930851,4129.702854,HI,4.46
2/27/2024,322,485,22,2,Blank,35.09272084,3591.283927,4465.659715,4467.171083,4466.415399,HI,1.51
3/1/2024,372,535,22,2,Blank,na,na,2282.147127,2282.551781,2282.349454,HI,0.40
3/5/2024,422,585,22,2,Blank,34.05662832,3216.714905,4470.504903,4472.237072,4471.370988,HI,1.73
3/11/2024,472,635,22,2,Blank,33.55721475,3526.587833,4259.65,4259.925,4259.7875,HI,0.28
3/19/2024,522,684,22,2,Blank,32.71086802,4097.18193,4924.221,4926.21,4925.2155,HI,1.99
2/20/2024,227,387,27,3,Blank,33.97827898,3415.40833,4174.927194,4173.623575,4174.275385,HI,1.30
2/23/2024,277,437,27,3,Blank,na,na,4239.04526,4236.09229,4237.568775,HI,2.95
2/27/2024,327,487,27,3,Blank,34.92863746,3399.2931,4841.20873,4843.156562,4842.182646,HI,1.95
3/1/2024,377,537,27,3,Blank,na,na,2790.277027,2792.325715,2791.301371,HI,2.05
3/5/2024,427,587,27,3,Blank,34.09369443,3546.185826,4041.957705,4045.465452,4043.711579,HI,3.51
3/11/2024,477,637,27,3,Blank,33.52213666,3702.234438,3184.583,3180.498,3182.5405,HI,4.09
3/19/2024,527,686,27,3,Blank,32.30658916,4142.578576,5102.118,5112.606,5107.362,HI,10.49
2/20/2024,211,394,11,1,Blank,34.00023202,3239.047193,3926.152747,3922.513917,3924.333332,XHI,3.64
2/23/2024,261,444,11,1,Blank,na,na,4629.403523,4629.507129,4629.455326,XHI,0.10
2/27/2024,311,494,11,1,Blank,35.00877557,4047.747666,5026.251132,5027.053161,5026.652147,XHI,0.80
3/1/2024,361,544,11,1,Blank,na,na,3561.227046,3567.551725,3564.389386,XHI,6.32
3/5/2024,411,594,11,1,Blank,33.832688,3791.873403,3998.499795,4000.928552,3999.714174,XHI,2.43
3/11/2024,461,644,11,1,Blank,33.357457,3718.901695,4550.509,4558.242,4554.3755,XHI,7.73
3/19/2024,511,693,11,1,Blank,32.54680401,4039.464904,4040.809,4047.335,4044.072,XHI,6.53
2/20/2024,240,401,40,4,Blank,34.12648161,3438.155052,4206.079732,4201.595972,4203.837852,XHI,4.48
2/23/2024,290,451,40,4,Blank,na,na,3505.659743,3501.6407,3503.650222,XHI,4.02
2/27/2024,340,501,40,4,Blank,34.75557226,3827.887413,3877.619574,3883.293505,3880.45654,XHI,5.67
3/1/2024,390,551,40,4,Blank,na,na,4294.069372,4296.274305,4295.171839,XHI,2.20
3/5/2024,440,601,40,4,Blank,34.09175916,4256.402099,4794.237,4793.026,4793.6315,XHI,1.21
3/11/2024,490,651,40,4,Blank,33.36435955,3576.604118,5157.378,5168.072,5162.725,XHI,10.69
3/19/2024,540,700,40,4,Blank,32.15396611,4071.919181,4019.18,4019.258,4019.219,XHI,0.08