order,geno,tag,treatment,beaker,tank,robot,ta,ta_dev,gr_sa,gr_mass
1,S,SI_3,HI,1,1,armand,4256.660279,560.1914433,0.815335071,6.189649484
2,C,C_2,XHI,2,1,armand,4421.385302,491.6422991,0.6864946748,4.539105405
3,C,C_10,HI,4,1,armand,3957.268908,889.3885508,0.8174546347,6.168521828
4,C,C_4,ELEV,5,1,armand,3558.797713,288.4943725,0.8199757349,5.07270353
5,M,M9_7,HI,6,1,armand,3931.188606,865.8687823,0.5478074642,3.632584313
6,C,C_18,AMB,7,1,armand,2462.587801,136.4088801,0.1562742643,1.429100599
7,S,SI_14,ELEV,8,1,armand,3615.083969,146.6705651,0.7087555599,4.971829072
8,S,SI_10,XHI,9,1,armand,4405.725924,788.67771,1.086184073,9.091139282
9,M,M9_3,AMB,10,1,armand,2438.992705,139.3166635,0.286180916,1.078721244
10,C,C_7,AMB,12,1,armand,2434.278764,116.7556859,0.2056957866,1.269432691
11,C,C_9,ELEV,14,2,armand,3585.436936,279.1832119,0.6919143352,5.054578851
12,C,C_1,HI,15,2,armand,3969.127675,941.0207377,0.8702259878,6.832406258
13,C,C_8,AMB,16,2,armand,2417.34794,94.46556224,0.3539089487,2.805618965
14,C,C_5,XHI,17,2,armand,4214.369662,929.12096,0.9561610313,6.601356835
15,M,M9_2,ELEV,18,2,armand,3487.566611,363.7417254,0.6039261937,4.238031291
16,S,SI_8,HI,19,2,armand,4338.794142,364.2143888,0.6308973334,4.075747625
17,S,SI_7,XHI,20,2,armand,4444.560867,440.592115,0.6515370466,3.54711765
18,S,SI_6,AMB,21,2,armand,2413.734224,92.86013644,0.493247718,2.631750267
19,S,SI_1,ELEV,23,2,armand,3512.426022,345.8007747,0.6396728398,5.577732018
20,M,M9_9,XHI,24,2,armand,4351.278887,721.5447503,0.8099742077,3.95423514
21,S,SI_2,HI,25,3,armanda,4139.379614,731.5588296,1.213547016,8.542435936
22,M,M9_1,XHI,26,3,armanda,4362.231101,787.959075,0.5919972087,4.449917165
23,M,M9_8,ELEV,28,3,armanda,3777.085491,130.9787349,0.8684047565,6.628326215
24,S,SI_5,XHI,29,3,armanda,4462.241391,728.8187005,1.018419197,7.918157081
25,C,C_3,HI,30,3,armanda,4306.448724,659.4737513,0.7117226387,5.391302641
26,M,M9_4,AMB,31,3,armanda,2578.657786,272.4337856,0.210038513,1.635837583
27,S,SI_4,AMB,32,3,armanda,2432.592735,98.05458597,0.3267299175,1.649613377
28,S,SI_11,ELEV,34,3,armanda,3764.401522,115.3195249,0.8698800855,6.43877529
29,C,C_13,AMB,35,3,armanda,2460.614308,143.7416075,0.5644328376,5.701428128
30,C,C_15,XHI,36,3,armanda,4248.561147,692.1067198,1.065754584,6.458663938
31,C,C_6,HI,37,4,armanda,4315.375608,754.6849711,0.5278599775,4.517726278
32,C,C_12,AMB,38,4,armanda,2496.725988,215.8217115,0.4331455002,2.78363113
33,S,SI_9,AMB,39,4,armanda,2432.892174,68.02469137,0.6493785174,4.023519504
34,M,M9_5,HI,41,4,armanda,4179.740216,712.584564,0.6252057736,5.734900715
35,M,M9_6,XHI,42,4,armanda,4635.869268,693.883773,0.7876196865,7.393831346
36,S,SI_12,ELEV,43,4,armanda,3698.741832,479.601011,0.656715113,4.469819075
37,C,C_11,ELEV,45,4,armanda,3571.481952,461.9381086,0.7221843599,4.490892526
38,S,SI_15,HI,46,4,armanda,4212.220875,860.6591083,0.6171853363,4.557499455
39,C,C_14,ELEV,47,4,armanda,3654.401256,494.5403333,0.5681560343,3.875035576
40,C,C_16,XHI,48,4,armanda,4423.893306,637.7832554,0.609299183,4.396710748