beaker,groth,date
1,8.154517324,2/3/2024
1,8.154517324,2/19/2024
1,7.683294692,3/8/2024
1,3.81072522,3/23/2024
2,4.780169453,2/3/2024
2,4.780169453,2/19/2024
2,5.861637004,3/8/2024
2,0,3/23/2024
4,9.144763329,2/3/2024
4,9.144763329,2/19/2024
4,8.119679561,3/8/2024
4,3.286056149,3/23/2024
5,6.888988483,2/3/2024
5,6.888988483,2/19/2024
5,6.061989964,3/8/2024
5,2.465037279,3/23/2024
6,7.263798368,2/3/2024
6,7.263798368,2/19/2024
6,5.233214922,3/8/2024
6,1.51006294,2/3/2024
7,6.750405485,2/19/2024
7,6.750405485,3/8/2024
7,1.970264895,3/23/2024
7,0.1044210256,2/3/2024
8,4.299414024,2/19/2024
8,4.299414024,3/8/2024
8,5.413499194,3/23/2024
8,3.993842709,2/3/2024
9,7.432975871,2/19/2024
9,7.432975871,3/8/2024
9,11.02165996,3/23/2024
9,5.598208573,2/3/2024
10,1.767884479,2/19/2024
10,1.767884479,3/8/2024
10,1.565258181,3/23/2024
10,0.4293360419,2/3/2024
12,3.330511018,2/19/2024
12,3.330511018,3/8/2024
12,3.437032213,2/3/2024
12,0,2/19/2024
14,9.004324547,3/8/2024
14,9.004324547,3/23/2024
14,6.81994544,2/3/2024
14,2.58646488,2/19/2024
15,9.694063473,3/8/2024
15,9.694063473,3/23/2024
15,7.976113087,2/3/2024
15,4.744946582,2/19/2024
16,6.463125116,3/8/2024
16,6.463125116,3/23/2024
16,3.269252263,2/3/2024
16,2.093559227,2/19/2024
17,7.288273616,3/8/2024
17,7.288273616,3/23/2024
17,7.06599248,2/3/2024
17,5.32969446,2/19/2024
18,7.710273897,3/8/2024
18,7.710273897,2/3/2024
18,5.585443298,2/19/2024
18,1.601040452,3/8/2024
19,7.106372743,3/23/2024
19,7.106372743,2/3/2024
19,5.112872808,2/19/2024
19,2.55944902,3/8/2024
20,5.597277516,3/23/2024
20,5.597277516,2/3/2024
20,3.947163374,2/19/2024
20,2.830329554,3/8/2024
21,3.822080854,3/23/2024
21,3.822080854,2/3/2024
21,3.15864114,2/19/2024
21,1.859103385,3/8/2024
23,8.739751432,3/23/2024
23,8.739751432,2/3/2024
23,7.475277984,2/19/2024
23,2.874777767,3/8/2024
24,4.356806968,2/3/2024
24,4.356806968,2/19/2024
24,4.232624055,3/8/2024
24,3.329210176,3/23/2024
25,5.071950042,2/3/2024
25,5.071950042,2/19/2024
25,9.896385587,3/8/2024
25,5.835820189,3/23/2024
26,4.157151013,2/3/2024
26,4.157151013,2/19/2024
26,4.892338806,3/8/2024
26,3.56703567,3/23/2024
28,4.735389301,2/3/2024
28,4.735389301,2/19/2024
28,9.015120234,3/8/2024
28,3.202395453,3/23/2024
29,5.984628545,2/3/2024
29,5.984628545,2/19/2024
29,9.893599125,3/8/2024
29,4.672021419,2/3/2024
30,5.192144674,2/19/2024
30,5.192144674,3/8/2024
30,6.333884106,3/23/2024
30,3.787665886,2/3/2024
31,2.797324712,2/19/2024
31,2.797324712,3/8/2024
31,2.076591154,3/23/2024
31,1.037279676,2/3/2024
32,1.706410294,2/19/2024
32,1.706410294,3/8/2024
32,2.492766735,3/23/2024
32,0.5808709456,2/3/2024
34,2.995207668,2/19/2024
34,2.995207668,3/8/2024
34,7.051089029,3/23/2024
34,5.03006012,2/3/2024
35,5.608143154,2/19/2024
35,5.608143154,3/8/2024
35,7.208207732,2/3/2024
35,3.41534659,2/19/2024
36,5.537931782,3/8/2024
36,5.537931782,3/23/2024
36,9.118583091,2/3/2024
36,2.775638283,2/19/2024
37,3.938133812,3/8/2024
37,3.938133812,3/23/2024
37,3.861839852,2/3/2024
37,4.924036405,2/19/2024
38,2.615164481,3/8/2024
38,2.615164481,3/23/2024
38,4.097996338,2/3/2024
38,1.089476124,2/19/2024
39,2.295801962,3/8/2024
39,2.295801962,3/23/2024
39,4.691779147,2/3/2024
39,2.935754993,2/19/2024
41,4.550245959,3/8/2024
41,4.550245959,2/3/2024
41,6.448607654,2/19/2024
41,4.335407129,3/8/2024
42,4.671117484,3/23/2024
42,4.671117484,2/3/2024
42,8.694886832,2/19/2024
42,5.00841144,3/8/2024
43,3.873405069,3/23/2024
43,3.873405069,2/3/2024
43,6.278106909,2/19/2024
43,2.032965211,3/8/2024
45,3.7888168,3/23/2024
45,3.7888168,2/3/2024
45,4.547695022,2/19/2024
45,3.683241252,3/8/2024
46,3.464502742,3/23/2024
46,3.464502742,2/3/2024
46,5.449453104,2/19/2024
46,3.141718354,3/8/2024
47,2.851136028,2/3/2024
47,2.851136028,2/19/2024
47,4.229847863,3/8/2024
47,3.171273229,3/23/2024
48,2.155515467,2/3/2024
48,2.155515467,2/19/2024
48,4.86399617,3/8/2024
48,3.493051625,3/23/2024