treatment,geno,tag,beaker,tank,avg_ta,ta_sd,ta_se,t0t1,t1t2,t2t3,t0t3,t1t3
HI,S,SI_3,1,1,4255.935,464.27998,189.54151,2.935,2.365,-0.594,4.706,1.771
XHI,C,C_2,2,1,4278.954,398.10298,178.03707,2.376,3.108,-1.474,4.01,1.634
HI,C,C_10,4,1,4031.964,875.8548,291.9516,4.236,2.74,-0.264,6.712,2.476
ELEV,C,C_4,5,1,3558.798,288.49437,86.98433,3.136,1.503,-1.634,3.005,-0.131
HI,M,M9_7,6,1,3854.924,948.05789,316.0193,3.153,2.73,-1.425,4.458,1.305
AMB,C,C_18,7,1,2447.786,134.1527,42.42281,2.118,0.191,-0.418,1.891,-0.227
ELEV,S,SI_14,8,1,3622.12,171.25591,60.54811,2.89,0.596,0.79,4.276,1.386
XHI,S,SI_10,9,1,4201.291,826.76712,312.4886,2.474,0.905,0.173,3.552,1.078
AMB,M,M9_3,10,1,2438.993,139.31666,42.00555,1.415,-1.071,1.411,1.755,0.34
AMB,C,C_7,12,1,2434.279,116.75569,35.20316,3.765,1.318,-0.149,4.934,1.169
ELEV,C,C_9,14,2,3585.437,279.18321,84.17691,2.93,1.905,-0.444,4.391,1.461
HI,C,C_1,15,2,3974.576,904.3194,319.72519,2.633,1.783,1.294,5.71,3.077
AMB,C,C_8,16,2,2423.25,97.41401,30.80502,2.905,0.704,-0.115,3.494,0.589
XHI,C,C_5,17,2,3958.021,834.46056,315.39645,1.948,3.207,0.014,5.169,3.221
ELEV,M,M9_2,18,2,3478.65,382.148,120.84581,5.606,1.579,-0.641,6.544,0.938
HI,S,SI_8,19,2,4391.379,458.4525,187.16245,3.075,0.484,0.634,4.193,1.118
XHI,S,SI_7,20,2,4497.356,454.27105,151.42368,4.014,0.533,0.301,4.848,0.834
AMB,S,SI_6,21,2,2413.734,92.86014,27.99838,2.156,0.241,0.718,3.115,0.959
ELEV,S,SI_1,23,2,3465.036,344.65163,114.88388,2.009,0.533,0.185,2.727,0.718
XHI,M,M9_9,24,2,4455.117,870.58963,329.05195,3.336,0.956,0.312,4.604,1.268
HI,S,SI_2,25,3,4196.082,745.21545,235.65782,1.72,1.805,-0.154,3.371,1.651
XHI,M,M9_1,26,3,4171.967,776.49732,347.26016,2.743,1.272,0.403,4.418,1.675
ELEV,M,M9_8,28,3,3771.987,144.8804,48.29347,2.393,3.74,-0.239,5.894,3.501
XHI,S,SI_5,29,3,3762.628,209.83751,121.14975,2.575,1.343,0.424,4.342,1.767
HI,C,C_3,30,3,4631.461,173.78716,70.94831,3.518,1.959,0.875,6.352,2.834
AMB,M,M9_4,31,3,2497.533,53.27636,17.75879,1.514,0.242,0.448,2.204,0.69
AMB,S,SI_4,32,3,2436.469,98.30096,32.76699,2.806,0.168,-0.984,1.99,-0.816
ELEV,S,SI_11,34,3,3773.252,120.44016,40.14672,1.399,-0.06,0.303,1.642,0.243
AMB,C,C_13,35,3,2490.663,171.7742,64.92455,2.123,1.532,0.052,3.707,1.584
XHI,C,C_15,36,3,4455.189,536.24507,218.92113,2.512,2.88,0.153,5.545,3.033
HI,C,C_6,37,4,4406.363,729.14259,230.57513,1.234,0.326,-0.531,1.029,-0.205
AMB,C,C_12,38,4,2519.58,252.92234,89.42155,1.348,1.37,1.015,3.733,2.385
AMB,S,SI_9,39,4,2437.46,69.90335,22.10538,1.265,0.687,0.562,2.514,1.249
HI,M,M9_5,41,4,4343.197,672.69249,224.23083,0.001,0.527,0.219,0.747,0.746
XHI,M,M9_6,42,4,4751.749,417.94747,139.31582,0.564,3.292,1.051,4.907,4.343
ELEV,S,SI_12,43,4,3779.477,89.75108,31.7318,3.202,1.677,0.114,4.993,1.791
ELEV,C,C_11,45,4,3661.751,269.73561,110.1191,3.95,2.579,-0.599,5.93,1.98
HI,S,SI_15,46,4,3944.244,868.71631,307.1376,2.724,0.904,0.561,4.189,1.465
ELEV,C,C_14,47,4,3817.606,72.26964,24.08988,2.629,1.336,1.397,5.362,2.733
XHI,C,C_16,48,4,4515.73,471.10968,178.06272,1.999,1.664,-2.63,1.033,-0.966