treatment,geno,tag,beaker,tank,gr_t0t1,gr_t1t2,gr_t2t3,gr_t0t3,gr_t1t3
HI,S,SI_3,1,1,0.1834375,0.1313888889,-0.0396,0.09604081633,0.05366666667
XHI,C,C_2,2,1,0.1485,0.1726666667,-0.4913333333,0.1083783784,0.07780952381
HI,C,C_10,4,1,0.26475,0.1522222222,-0.0176,0.1369795918,0.07503030303
ELEV,C,C_4,5,1,0.196,0.0835,-0.20425,0.07154761905,-0.005038461538
HI,M,M9_7,6,1,0.1970625,0.1516666667,-0.095,0.09097959184,0.03954545455
AMB,C,C_18,7,1,0.132375,0.01061111111,-0.05225,0.04502380952,-0.008730769231
ELEV,S,SI_14,8,1,0.180625,0.03311111111,0.05266666667,0.08726530612,0.042
XHI,S,SI_10,9,1,0.154625,0.05027777778,0.01153333333,0.07248979592,0.03266666667
AMB,M,M9_3,10,1,0.0884375,-0.0595,0.09406666667,0.03581632653,0.0103030303
AMB,C,C_7,12,1,0.2353125,0.07322222222,-0.0149,0.1121363636,0.04175
ELEV,C,C_9,14,2,0.183125,0.1058333333,-0.0296,0.0896122449,0.04427272727
HI,C,C_1,15,2,0.1645625,0.09905555556,0.08626666667,0.1165306122,0.09324242424
AMB,C,C_8,16,2,0.1815625,0.03911111111,-0.007666666667,0.07130612245,0.01784848485
XHI,C,C_5,17,2,0.12175,0.1781666667,0.0009333333333,0.1054897959,0.09760606061
ELEV,M,M9_2,18,2,0.350375,0.08772222222,-0.0641,0.1487272727,0.0335
HI,S,SI_8,19,2,0.1921875,0.02688888889,0.04226666667,0.08557142857,0.03387878788
XHI,S,SI_7,20,2,0.250875,0.02961111111,0.02006666667,0.09893877551,0.02527272727
AMB,S,SI_6,21,2,0.13475,0.01338888889,0.04786666667,0.06357142857,0.02906060606
ELEV,S,SI_1,23,2,0.1255625,0.02961111111,0.01233333333,0.05565306122,0.02175757576
XHI,M,M9_9,24,2,0.2085,0.05311111111,0.0208,0.09395918367,0.03842424242
HI,S,SI_2,25,3,0.1075,0.1002777778,-0.01026666667,0.06879591837,0.05003030303
XHI,M,M9_1,26,3,0.1714375,0.07066666667,0.02686666667,0.09016326531,0.05075757576
ELEV,M,M9_8,28,3,0.1495625,0.2077777778,-0.01593333333,0.1202857143,0.1060909091
XHI,S,SI_5,29,3,0.1609375,0.07461111111,0.02826666667,0.0886122449,0.05354545455
HI,C,C_3,30,3,0.219875,0.1088333333,0.05833333333,0.1296326531,0.08587878788
AMB,M,M9_4,31,3,0.094625,0.01344444444,0.02986666667,0.04497959184,0.02090909091
AMB,S,SI_4,32,3,0.175375,0.009333333333,-0.0656,0.0406122449,-0.02472727273
ELEV,S,SI_11,34,3,0.0874375,-0.003333333333,0.0202,0.03351020408,0.007363636364
AMB,C,C_13,35,3,0.1326875,0.08511111111,0.003466666667,0.07565306122,0.048
XHI,C,C_15,36,3,0.157,0.16,0.0102,0.1131632653,0.09190909091
HI,C,C_6,37,4,0.077125,0.01811111111,-0.0354,0.021,-0.006212121212
AMB,C,C_12,38,4,0.08425,0.07611111111,0.06766666667,0.07618367347,0.07227272727
AMB,S,SI_9,39,4,0.0790625,0.03816666667,0.03746666667,0.05130612245,0.03784848485
HI,M,M9_5,41,4,0.0000625,0.02927777778,0.0146,0.01524489796,0.02260606061
XHI,M,M9_6,42,4,0.03525,0.1828888889,0.07006666667,0.1001428571,0.1316060606
ELEV,S,SI_12,43,4,0.200125,0.09316666667,0.0076,0.1018979592,0.05427272727
ELEV,C,C_11,45,4,0.246875,0.1432777778,-0.1996666667,0.1602702703,0.09428571429
HI,S,SI_15,46,4,0.17025,0.05022222222,0.0374,0.08548979592,0.04439393939
ELEV,C,C_14,47,4,0.1643125,0.07422222222,0.09313333333,0.1094285714,0.08281818182
XHI,C,C_16,48,4,0.1249375,0.09244444444,-0.1753333333,0.02108163265,-0.02927272727