treatment,geno,tag,beaker,tank,gr_t0t1,gr_t1t2,gr_t2t3,gr_t0t3,gr_t1t3
HI,S,SI_3,1,1,0.201875,-0.03666666667,0.1793333333,0.1073469388,0.06151515152
XHI,C,C_2,2,1,0.200625,0.03722222222,0.2333333333,0.1237837838,0.06523809524
HI,C,C_10,4,1,0.3075,0.01333333333,0.162,0.1548979592,0.08090909091
ELEV,C,C_4,5,1,0.243125,-0.04277777778,0.0275,0.07952380952,-0.02115384615
HI,M,M9_7,6,1,0.208125,0.05,0.01,0.0893877551,0.03181818182
AMB,C,C_18,7,1,0.08125,0.01833333333,-0.16125,0.008095238095,-0.03692307692
ELEV,S,SI_14,8,1,0.15125,0.04166666667,0.032,0.07448979592,0.03727272727
XHI,S,SI_10,9,1,0.135625,0.06722222222,-0.03866666667,0.05714285714,0.01909090909
AMB,M,M9_3,10,1,0.040625,-0.07277777778,0.03133333333,-0.00387755102,-0.02545454545
AMB,C,C_7,12,1,0.2075,0.08055555556,-0.056,0.09568181818,0.03178571429
ELEV,C,C_9,14,2,0.233125,0.1311111111,-0.152,0.07775510204,0.002424242424
HI,C,C_1,15,2,0.268125,0.115,-0.01066666667,0.1265306122,0.05787878788
AMB,C,C_8,16,2,0.214375,0.04055555556,-0.1206666667,0.04795918367,-0.03272727273
XHI,C,C_5,17,2,0.163125,0.21,-0.108,0.09734693878,0.06545454545
ELEV,M,M9_2,18,2,0.425625,0.09611111111,-0.206,0.1472727273,-0.01178571429
HI,S,SI_8,19,2,0.184375,0.006666666667,0.003333333333,0.06367346939,0.005151515152
XHI,S,SI_7,20,2,0.2475,0.01222222222,-0.02133333333,0.0787755102,-0.00303030303
AMB,S,SI_6,21,2,0.10875,0.003333333333,0.01066666667,0.04,0.006666666667
ELEV,S,SI_1,23,2,0.06625,0.01555555556,-0.038,0.01571428571,-0.008787878788
XHI,M,M9_9,24,2,0.1925,0.03111111111,-0.01466666667,0.06979591837,0.0103030303
HI,S,SI_2,25,3,0.046875,0.09166666667,-0.04066666667,0.03653061224,0.03151515152
XHI,M,M9_1,26,3,0.06625,0.04611111111,-0.01266666667,0.03469387755,0.01939393939
ELEV,M,M9_8,28,3,0.13,0.2138888889,-0.05,0.1057142857,0.09393939394
XHI,S,SI_5,29,3,0.13125,0.05833333333,-0.01,0.0612244898,0.02727272727
HI,C,C_3,30,3,0.178125,0.1038888889,0.03333333333,0.1065306122,0.07181818182
AMB,M,M9_4,31,3,0.088125,-0.015,-0.008666666667,0.0206122449,-0.01212121212
AMB,S,SI_4,32,3,0.1425,-0.02166666667,-0.1186666667,0.002244897959,-0.06575757576
ELEV,S,SI_11,34,3,0.054375,-0.008333333333,-0.008,0.01224489796,-0.008181818182
AMB,C,C_13,35,3,0.079375,0.08777777778,-0.05933333333,0.04,0.02090909091
XHI,C,C_15,36,3,0.12375,0.1655555556,-0.05466666667,0.08448979592,0.06545454545
HI,C,C_6,37,4,0.093125,-0.005555555556,-0.1013333333,-0.002653061224,-0.04909090909
AMB,C,C_12,38,4,0.156875,0.06777777778,0.02066666667,0.08244897959,0.04636363636
AMB,S,SI_9,39,4,0.13625,0.025,0.004666666667,0.05510204082,0.01575757576
HI,M,M9_5,41,4,0.0375,0.009444444444,-0.01333333333,0.01163265306,-0.0009090909091
XHI,M,M9_6,42,4,0.08375,0.1911111111,0.04266666667,0.1106122449,0.1236363636
ELEV,S,SI_12,43,4,0.168125,0.07666666667,-0.01733333333,0.07775510204,0.03393939394
ELEV,C,C_11,45,4,0.2175,0.1033333333,-0.01333333333,0.1432432432,0.08666666667
HI,S,SI_15,46,4,0.148125,0.01944444444,0.02066666667,0.06183673469,0.02
ELEV,C,C_14,47,4,0.1175,0.06388888889,0.05733333333,0.0793877551,0.06090909091
XHI,C,C_16,48,4,0.0625,0.06611111111,-0.2233333333,-0.02367346939,-0.06545454545