coral,treat,md,msw,vbmm,vb,pf,vs,vp,pm,pb,p
SI3,HI,4.2228,2.7124,3846.3,3.8463,1,1.5104,2.3359,2.795815678,1.09788628,60.73109222
C2,XHI,3.2805,2.1033,3200.4,3.2004,1,1.1772,2.0232,2.786697248,1.025028121,63.21709786
C10,HI,3.725,2.39,4076.1,4.0761,1,1.335,2.7411,2.790262172,0.9138637423,67.24810481
C4,ELEV,3.6185,2.317,3328.3,3.3283,1,1.3015,2.0268,2.780253554,1.087191659,60.89595289
M97,HI,4.2916,2.7598,3537.7,3.5377,1,1.5318,2.0059,2.801671236,1.213104559,56.70068123
C18,AMB,2.4168,1.5526,3050.6,3.0506,1,0.8642,2.1864,2.796574867,0.7922375926,71.67114666
SI14,ELEV,3.9663,2.5394,3256.2,3.2562,1,1.4269,1.8293,2.779662205,1.218076285,56.17898164
SI10,XHI,2.1412,1.3727,2106.9,2.1069,1,0.7685,1.3384,2.786206897,1.016279842,63.52460962
M93,AMB,7.3971,4.6844,5092.5,5.0925,1,2.7127,2.3798,2.726840417,1.452547865,46.73146784
C7,AMB,4.1159,2.6468,4218.3,4.2183,1,1.4691,2.7492,2.801647267,0.9757248181,65.17317403
C9,ELEV,2.5187,1.6124,2764.6,2.7646,1,0.9063,1.8583,2.779101843,0.9110540404,67.21768068
C1,HI,3.3483,2.1551,3213.4,3.2134,1,1.1932,2.0202,2.806151525,1.041980457,62.86799029
C8,AMB,3.0293,1.9496,3198.4,3.1984,1,1.0797,2.1187,2.805686765,0.9471298149,66.24249625
C5,XHI,3.608,2.3189,3436.7,3.4367,1,1.2891,2.1476,2.798851912,1.049844327,62.49017953
M92,ELEV,3.5398,2.2644,3914.5,3.9145,1,1.2754,2.6391,2.775442998,0.9042789628,67.41857198
SI8,HI,3.5022,2.2517,2813.3,2.8133,1,1.2505,1.5628,2.800639744,1.24487257,55.55042121
SI7,XHI,4.7265,3.0228,4294.7,4.2947,1,1.7037,2.591,2.774256031,1.100542529,60.3301744
SI6,AMB,4.3924,2.8154,3629.9,3.6299,1,1.577,2.0529,2.785288523,1.210060883,56.555277
SI1,ELEV,3.2474,2.0704,2835.3,2.8353,1,1.177,1.6583,2.759048428,1.145346171,58.48763799
M99,XHI,5.7248,3.6822,4747.9,4.7479,1,2.0426,2.7053,2.802702438,1.205754123,56.97887487
SI2,HI,3.6025,2.3126,3156.3,3.1563,1,1.2899,1.8664,2.792852159,1.141368058,59.13252859
M91,XHI,3.9975,2.5729,3749.2,3.7492,1,1.4246,2.3246,2.806050821,1.066227462,62.00256055
M98,ELEV,2.1495,1.3705,1837,1.837,1,0.779,1.058,2.759306804,1.170114317,57.5939031
SI5,XHI,4.1713,2.6836,3716.2,3.7162,1,1.4877,2.2285,2.803858305,1.122463807,59.96717077
C3,HI,3.5306,2.2672,3327.9,3.3279,1,1.2634,2.0645,2.794522716,1.060909282,62.03611887
SI4,AMB,5.8205,3.7483,4276.7,4.2767,1,2.0722,2.2045,2.808850497,1.36097926,51.54675334
SI11,ELEV,1.6812,1.084,1370.3,1.3703,1,0.5972,0.7731,2.815137307,1.226884624,56.41830256
C13,AMB,1.9379,1.2402,2251.1,2.2511,1,0.6977,1.5534,2.777554823,0.8608680201,69.0062636
C15,XHI,3.795,2.4385,3464.6,3.4646,1,1.3565,2.1081,2.797640988,1.095364544,60.84685101
C6,HI,3.0906,1.9828,3076.4,3.0764,1,1.1078,1.9686,2.789853764,1.004615785,63.99037836
C12,AMB,3.1897,2.0462,3048.9,3.0489,1,1.1435,1.9054,2.789418452,1.04618059,62.49467021
SI9,AMB,3.2243,2.075,2396.9,2.3969,1,1.1493,1.2476,2.805446794,1.345195878,52.05056531
M95,HI,1.4124,0.9065,1268.6,1.2686,1,0.5059,0.7627,2.791856098,1.113353303,60.12139366
M96,XHI,2.3276,1.4977,2316.8,2.3168,1,0.8299,1.4869,2.804675262,1.004661602,64.17904006
SI12,ELEV,3.2306,2.0734,2940.8,2.9408,1,1.1572,1.7836,2.79173868,1.098544614,60.65016322
C11,ELEV,3.6541,2.3435,3134.8,3.1348,1,1.3106,1.8242,2.788112315,1.165656501,58.19191017
SI15,HI,2.5625,1.6441,1975,1.975,1,0.9184,1.0566,2.790178571,1.297468354,53.49873418
C14,ELEV,3.1122,2.0054,3314.2,3.3142,1,1.1068,2.2074,2.811890134,0.9390501478,66.60430873
C16,XHI,3.4825,2.2365,3247.5,3.2475,1,1.246,2.0015,2.79494382,1.072363356,61.63202463